"ref_id"	"ref_name"	"ref_description"	"ref_ncbi_accession"	"ref_ncbi_query"	"ref_ncbi_query_max"	"ref_primary_usage"	"ref_contextual_usage"	"ref_color_by"
"GCF_024347135_1"	"Vibrio spartinae"	"Vibrio spartinae (GCF_024347135.1; T; RS)"	"GCF_024347135.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_024029435_1"	"Fructilactobacillus hinvesii"	"Fructilactobacillus hinvesii (GCF_024029435.1; T; RS)"	"GCF_024029435.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_003534205_1"	"Listeria weihenstephanensis"	"Listeria weihenstephanensis (GCF_003534205.1; T; RS)"	"GCF_003534205.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_002087075_1"	"Streptococcus pseudopneumoniae ATCC BAA-960 = CCUG 49455"	"Streptococcus pseudopneumoniae (GCF_002087075.1; T; RS)"	"GCF_002087075.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_963580325_1"	"GCF_963580325.1"	"Fructobacillus fructosus (GCF_963580325.1)"	"GCF_963580325.1"	"null"	"30"	"optional"	"required"	"null"	"TRUE"
"GCF_000196855_1"	"Leuconostoc gasicomitatum LMG 18811"	"Leuconostoc gasicomitatum (GCF_000196855.1; T; RS)"	"GCF_000196855.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_039521485_1"	"Ligilactobacillus aviarius"	"Ligilactobacillus aviarius (GCF_039521485.1; T; RS)"	"GCF_039521485.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_002706375_1"	"Lactobacillus amylovorus DSM 20531"	"Lactobacillus amylovorus (GCF_002706375.1; T; RS)"	"GCF_002706375.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_000237995_1"	"Pediococcus claussenii ATCC BAA-344"	"Pediococcus claussenii (GCF_000237995.1; T; RS)"	"GCF_000237995.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_025150565_1"	"Granulicatella adiacens ATCC 49175"	"Granulicatella adiacens (GCF_025150565.1; T; RS)"	"GCF_025150565.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_000493735_1"	"Carnobacterium inhibens subsp. gilichinskyi"	"Carnobacterium inhibens (GCF_000493735.1; T; RS)"	"GCF_000493735.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_002583405_1"	"Secundilactobacillus silagincola"	"Secundilactobacillus silagincola (GCF_002583405.1; T; RS)"	"GCF_002583405.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_003124125_1"	"Levilactobacillus bambusae"	"Levilactobacillus bambusae (GCF_003124125.1; T; RS)"	"GCF_003124125.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_004358325_1"	"Periweissella cryptocerci"	"Periweissella cryptocerci (GCF_004358325.1; T; RS)"	"GCF_004358325.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_003086355_1"	"Streptococcus chenjunshii"	"Streptococcus chenjunshii (GCF_003086355.1; T; RS)"	"GCF_003086355.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_001932615_1"	"Weissella jogaejeotgali"	"Weissella jogaejeotgali (GCF_001932615.1; T; RS)"	"GCF_001932615.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_015689475_1"	"Streptomyces solisilvae"	"Streptomyces solisilvae (GCF_015689475.1; T; RS)"	"GCF_015689475.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_026913205_2"	"Lentilactobacillus terminaliae"	"Lentilactobacillus terminaliae (GCF_026913205.2; T; RS)"	"GCF_026913205.2"	"null"	"null"	"optional"	"optional"	"null"
"GCF_900187315_1"	"Listeria welshimeri"	"Listeria welshimeri (GCF_900187315.1; T; RS)"	"GCF_900187315.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_019977755_1"	"Vibrio penaeicida"	"Vibrio penaeicida (GCF_019977755.1; T; RS)"	"GCF_019977755.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_024298965_1"	"Streptomyces rapamycinicus NRRL 5491"	"Streptomyces rapamycinicus (GCF_024298965.1; T; RS)"	"GCF_024298965.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_000214015_3"	"GCF_000214015.3"	"Ostreococcus tauri (GCF_000214015.3)"	"GCF_000214015.3"	"null"	"30"	"exclusive"	"exclusive"	"null"	"TRUE"
"GCF_000831645_3"	"Companilactobacillus heilongjiangensis"	"Companilactobacillus heilongjiangensis (GCF_000831645.3; T; RS)"	"GCF_000831645.3"	"null"	"null"	"optional"	"optional"	"null"
"GCF_902362235_1"	"Lactobacillaceae bacterium"	"Lactobacillaceae bacterium (GCF_902362235.1; RS)"	"GCF_902362235.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_000696385_1"	"Vibrio metoecus"	"Vibrio metoecus (GCF_000696385.1; T; RS)"	"GCF_000696385.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_030770295_1"	"Lacticaseibacillus styriensis"	"Lacticaseibacillus styriensis (GCF_030770295.1; T; RS)"	"GCF_030770295.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_000423245_1"	"Ligilactobacillus ceti DSM 22408"	"Ligilactobacillus ceti (GCF_000423245.1; T; RS)"	"GCF_000423245.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_030389495_1"	"Ligilactobacillus cholophilus"	"Ligilactobacillus cholophilus (GCF_030389495.1; T; RS)"	"GCF_030389495.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_029726355_1"	"Lacticaseibacillus huelsenbergensis"	"Lacticaseibacillus huelsenbergensis (GCF_029726355.1; T; RS)"	"GCF_029726355.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_000014445_1"	"Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293"	"Leuconostoc mesenteroides (GCF_000014445.1; T; RS)"	"GCF_000014445.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_003955755_1"	"Jeotgalibaca ciconiae"	"Jeotgalibaca ciconiae (GCF_003955755.1; T; RS)"	"GCF_003955755.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_001434895_1"	"Secundilactobacillus odoratitofui DSM 19909 = JCM 15043"	"Secundilactobacillus odoratitofui (GCF_001434895.1; T; RS)"	"GCF_001434895.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_000010005_1"	"Limosilactobacillus reuteri subsp. reuteri JCM 1112"	"Limosilactobacillus reuteri (GCF_000010005.1; T; RS)"	"GCF_000010005.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_963243745_1"	"Levilactobacillus zymae"	"Levilactobacillus zymae (GCF_963243745.1; T; RS)"	"GCF_963243745.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_043386705_1"	"Limosilactobacillus mucosae"	"Limosilactobacillus mucosae (GCF_043386705.1; T; RS)"	"GCF_043386705.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_001891125_1"	"Leuconostoc suionicum"	"Leuconostoc suionicum (GCF_001891125.1; T; RS)"	"GCF_001891125.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_024543085_1"	"Granulicatella seriolae"	"Granulicatella seriolae (GCF_024543085.1; T; RS)"	"GCF_024543085.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_003641185_1"	"Lactiplantibacillus pentosus"	"Lactiplantibacillus pentosus (GCF_003641185.1; T; RS)"	"GCF_003641185.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_000092505_1"	"Leuconostoc kimchii IMSNU 11154"	"Leuconostoc kimchii (GCF_000092505.1; T; RS)"	"GCF_000092505.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_023746615_1"	"Grimontia kaedaensis"	"Grimontia kaedaensis (GCF_023746615.1; T; RS)"	"GCF_023746615.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_000148585_2"	"Streptococcus mitis NCTC 12261"	"Streptococcus mitis (GCF_000148585.2; T; RS)"	"GCF_000148585.2"	"null"	"null"	"optional"	"optional"	"null"
"GCF_006965445_1"	"Lactococcus protaetiae"	"Lactococcus protaetiae (GCF_006965445.1; T; RS)"	"GCF_006965445.1"	"null"	"null"	"optional"	"optional"	"null"
